antecedents,consequents,support,confidence,lift
"平台_平台=智联招聘, 行业_行业=制造业",城市_城市=长沙,0.04255371605379618,0.6489941718368115,1.2567329374003147
薪资_薪资=超高薪,城市_城市=长沙,0.13201267242760814,0.6481268534769715,1.255053434567588
"平台_平台=智联招聘, 薪资_薪资=超高薪",城市_城市=长沙,0.13201267242760814,0.6481268534769715,1.255053434567588
薪资_薪资=超高薪,"城市_城市=长沙, 平台_平台=智联招聘",0.13201267242760814,0.6481268534769715,1.255053434567588
"岗位层级_岗位层级=资深专业岗, 平台_平台=智联招聘, 薪资_薪资=超高薪",城市_城市=长沙,0.0571491968787367,0.6426393124480178,1.2444271857418039
"岗位层级_岗位层级=资深专业岗, 薪资_薪资=超高薪",城市_城市=长沙,0.0571491968787367,0.6426393124480178,1.2444271857418039
"岗位层级_岗位层级=资深专业岗, 薪资_薪资=超高薪","城市_城市=长沙, 平台_平台=智联招聘",0.0571491968787367,0.6426393124480178,1.2444271857418039
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 薪资_薪资=中薪",行业_行业=其他,0.022620529825815756,1.0,1.2174480729979589
城市_城市=天津,"平台_平台=智联招聘, 行业_行业=其他",0.09132037326956029,1.0,1.2174480729979589
城市_城市=天津,行业_行业=其他,0.09132037326956029,1.0,1.2174480729979589
"城市_城市=天津, 平台_平台=智联招聘",行业_行业=其他,0.09132037326956029,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘, 薪资_薪资=中薪",行业_行业=其他,0.022620529825815756,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 薪资_薪资=中薪","平台_平台=智联招聘, 行业_行业=其他",0.022620529825815756,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 薪资_薪资=低薪",行业_行业=其他,0.020907040100590475,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗","平台_平台=智联招聘, 行业_行业=其他",0.0642250465354224,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",行业_行业=其他,0.0642250465354224,1.0,1.2174480729979589
"城市_城市=天津, 薪资_薪资=低薪","平台_平台=智联招聘, 行业_行业=其他",0.030263433636173124,1.0,1.2174480729979589
"城市_城市=天津, 薪资_薪资=中薪","平台_平台=智联招聘, 行业_行业=其他",0.029548452311978404,1.0,1.2174480729979589
"城市_城市=天津, 平台_平台=智联招聘, 薪资_薪资=低薪",行业_行业=其他,0.030263433636173124,1.0,1.2174480729979589
"城市_城市=天津, 平台_平台=智联招聘, 薪资_薪资=中薪",行业_行业=其他,0.029548452311978404,1.0,1.2174480729979589
"城市_城市=天津, 薪资_薪资=中薪",行业_行业=其他,0.029548452311978404,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗",行业_行业=其他,0.0642250465354224,1.0,1.2174480729979589
"城市_城市=天津, 薪资_薪资=低薪",行业_行业=其他,0.030263433636173124,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 薪资_薪资=低薪","平台_平台=智联招聘, 行业_行业=其他",0.020907040100590475,1.0,1.2174480729979589
"城市_城市=天津, 岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘, 薪资_薪资=低薪",行业_行业=其他,0.020907040100590475,1.0,1.2174480729979589
"岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘, 薪资_薪资=超高薪, 行业_行业=其他",城市_城市=长沙,0.05014731080731253,0.6077991931869117,1.1769616716918614
"岗位层级_岗位层级=中级技术岗, 薪资_薪资=超高薪, 行业_行业=其他",城市_城市=长沙,0.05014731080731253,0.6077991931869117,1.1769616716918614
"岗位层级_岗位层级=中级技术岗, 薪资_薪资=超高薪, 行业_行业=其他","城市_城市=长沙, 平台_平台=智联招聘",0.05014731080731253,0.6077991931869117,1.1769616716918614
"城市_城市=天津, 薪资_薪资=中薪",岗位层级_岗位层级=中级技术岗,0.022620529825815756,0.7655402586566541,1.175939998532218
"城市_城市=天津, 平台_平台=智联招聘, 薪资_薪资=中薪",岗位层级_岗位层级=中级技术岗,0.022620529825815756,0.7655402586566541,1.175939998532218
"城市_城市=天津, 平台_平台=智联招聘, 薪资_薪资=中薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.022620529825815756,0.7655402586566541,1.175939998532218
"城市_城市=天津, 薪资_薪资=中薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.022620529825815756,0.7655402586566541,1.175939998532218
"城市_城市=天津, 薪资_薪资=中薪, 行业_行业=其他","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.022620529825815756,0.7655402586566541,1.175939998532218
"城市_城市=天津, 薪资_薪资=中薪","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.022620529825815756,0.7655402586566541,1.175939998532218
"城市_城市=长沙, 薪资_薪资=中薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.07947387236350636,0.7628682996095136,1.1718356245526103
"城市_城市=长沙, 平台_平台=智联招聘, 薪资_薪资=中薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.07947387236350636,0.7628682996095136,1.1718356245526103
"城市_城市=长沙, 薪资_薪资=中薪, 行业_行业=其他","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.07947387236350636,0.7628682996095136,1.1718356245526103
"薪资_薪资=超高薪, 行业_行业=其他",城市_城市=长沙,0.09601706093366699,0.6031438748644882,1.167946965360502
"薪资_薪资=超高薪, 行业_行业=其他","城市_城市=长沙, 平台_平台=智联招聘",0.09601706093366699,0.6031438748644882,1.167946965360502
"平台_平台=智联招聘, 薪资_薪资=超高薪, 行业_行业=其他",城市_城市=长沙,0.09601706093366699,0.6031438748644882,1.167946965360502
"岗位层级_岗位层级=资深专业岗, 平台_平台=智联招聘, 薪资_薪资=超高薪, 行业_行业=其他",城市_城市=长沙,0.0421222618064373,0.5986334968465312,1.159212926040472
"岗位层级_岗位层级=资深专业岗, 薪资_薪资=超高薪, 行业_行业=其他",城市_城市=长沙,0.0421222618064373,0.5986334968465312,1.159212926040472
"岗位层级_岗位层级=资深专业岗, 薪资_薪资=超高薪, 行业_行业=其他","城市_城市=长沙, 平台_平台=智联招聘",0.0421222618064373,0.5986334968465312,1.159212926040472
"城市_城市=长沙, 平台_平台=智联招聘, 薪资_薪资=高薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.07724263754145043,0.7478219357918606,1.1487230307398508
"城市_城市=长沙, 薪资_薪资=高薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.07724263754145043,0.7478219357918606,1.1487230307398508
"城市_城市=长沙, 薪资_薪资=高薪, 行业_行业=其他","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.07724263754145043,0.7478219357918606,1.1487230307398508
"岗位层级_岗位层级=中级技术岗, 薪资_薪资=高薪",城市_城市=长沙,0.10205742039669136,0.593051575931232,1.1484039170036635
"岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘, 薪资_薪资=高薪",城市_城市=长沙,0.10205742039669136,0.593051575931232,1.1484039170036635
"岗位层级_岗位层级=中级技术岗, 薪资_薪资=高薪","城市_城市=长沙, 平台_平台=智联招聘",0.10205742039669136,0.593051575931232,1.1484039170036635
"城市_城市=长沙, 薪资_薪资=中薪","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.100874003032507,0.7449927166788055,1.1443770908862219
"城市_城市=长沙, 平台_平台=智联招聘, 薪资_薪资=中薪",岗位层级_岗位层级=中级技术岗,0.100874003032507,0.7449927166788055,1.1443770908862219
"城市_城市=长沙, 薪资_薪资=中薪",岗位层级_岗位层级=中级技术岗,0.100874003032507,0.7449927166788055,1.1443770908862219
"城市_城市=长沙, 薪资_薪资=高薪","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.10205742039669136,0.7401215805471125,1.1368945793516816
"城市_城市=长沙, 平台_平台=智联招聘, 薪资_薪资=高薪",岗位层级_岗位层级=中级技术岗,0.10205742039669136,0.7401215805471125,1.1368945793516816
"城市_城市=长沙, 薪资_薪资=高薪",岗位层级_岗位层级=中级技术岗,0.10205742039669136,0.7401215805471125,1.1368945793516816
岗位层级_岗位层级=资深专业岗,"城市_城市=长沙, 平台_平台=智联招聘",0.09299688120215481,0.5849875930521092,1.1327885643077473
"岗位层级_岗位层级=资深专业岗, 平台_平台=智联招聘",城市_城市=长沙,0.09299688120215481,0.5849875930521092,1.1327885643077473
岗位层级_岗位层级=资深专业岗,城市_城市=长沙,0.09299688120215481,0.5849875930521092,1.1327885643077473
"薪资_薪资=高薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.13934739463270918,0.7252662645964327,1.114075452571998
"平台_平台=智联招聘, 薪资_薪资=高薪, 行业_行业=其他",岗位层级_岗位层级=中级技术岗,0.13934739463270918,0.7252662645964327,1.114075452571998
"薪资_薪资=高薪, 行业_行业=其他","岗位层级_岗位层级=中级技术岗, 平台_平台=智联招聘",0.13934739463270918,0.7252662645964327,1.114075452571998
"城市_城市=其他城市, 岗位层级_岗位层级=中级技术岗, 薪资_薪资=低薪",行业_行业=其他,0.02285474784581058,0.9124015748031497,1.1108015390443977
